"Área de Ponderação","Cód. UF","UF","Cod_meso","Mesorregião","Cód. Microrregião","Microrregião","Cód_RM","Região Metropolitana","Cód. Município","Município","Domicílios particulares permanentes-DPP","DPP SEM banheiro de uso exclusivo dos moradores e NEM sanitário","DPP com lixo coletado em caçamba de serviço de limpeza","DPP com lixo queimado na propriedade","DPP com lixo enterrado na propriedade","DPP com lixo jogado em terreno baldio ou logradouro","DPP com lixo jogado em rio, lago ou mar","DPP SEM energia elétrica","DPP do tipo casa próprios e em aquisição","DPP do tipo casa alugados","DPP do tipo casa cedidos por empregador","DPP com outra forma de destino do lixo e outra forma de abastecimento de água","Moradores em DPP próprios e em aquisição","Moradores em DPP alugados","Moradores em DPP cedidos por empregador","Moradores em DPP com outra condição de ocupação (não são próprios, alugados, nem cedidos)","Moradores em DPP SEM banheiro de uso exclusivo dos moradores e NEM sanitário","Moradores em DPP SEM energia elétrica","Pessoas responsáveis, do sexo feminino","Pessoas responsáveis, do sexo masculino","Pessoas Residentes","Pessoas Residentes e cor ou raça - branca","Pessoas Residentes e cor ou raça - preta","Pessoas Residentes e cor ou raça - amarela","Pessoas Residentes e cor ou raça - parda","Pessoas Residentes e cor ou raça - indígena","Pessoas residentes em  DPP","Responsáveis pelos domicílios particulares","Cônjuges ou companheiros(as) em domi. partic.","Filhos(as) do responsável e do cônjuge em domi. partic.","Filhos(as) somente do responsável em domi. partic.","Enteados(as) em domi. partic.","Genros ou noras em domi. partic.","Pais, mães, padrastos ou madrastas em domi. partic.","Sogros (as) em domi. partic.","Netos(as) em domi. partic.","Bisnetos(as) em domi. partic.","Irmãos ou irmãs em domi. partic.","Avôs ou avós em domi. partic.","Outros parentes em domi. partic.","Agregados(as) em  domi. partic.","Conviventes em domi. partic.","Total de domicílios particulares improvisados","Total do rendimento nominal mensal dos domi. partic.","Total do rendimento nominal mensal dos domi. partic. improvisados","Domicílios particulares sem rendimento nominal mensal domiciliar per capita","DPP alugados – Não existe iluminação pública","DPP alugados – Não existe pavimentação","DPP próprios – Existe esgoto a céu aberto","DPP alugados – Existe esgoto a céu aberto","DPP que não tinham banheiro ou sanitário – Não existe iluminação pública","DPP que não tinham banheiro ou sanitário – Não existe pavimentação","DPP que não tinham banheiro ou sanitário – Não existe calçada","DPP que não tinham banheiro ou sanitário – Não existe meio-fio/guia","DPP que não tinham banheiro ou sanitário – Não existe bueiro/boca-de-lobo","DPP que não tinham banheiro ou sanitário – Não existe rampa para cadeirante","DPP que não tinham banheiro ou sanitário – Não existe arborização","DPP que não tinham banheiro ou sanitário – Existe esgoto a céu aberto","DPP que não tinham banheiro ou sanitário – Existe lixo acumulado nos logradouros","DPP com moradia adequada – Existe identificação do logradouro","DPP com moradia adequada – Não existe identificação do logradouro","DPP com moradia semi-adequada – Existe identificação do logradouro","DPP com moradia semi-adequada – Não existe identificação do logradouro","DPP com moradia inadequada –  Existe identificação do logradouro","DPP com moradia inadequada – Não existe identificação do logradouro","Moradia Adequada_V202eV203","Moradia Semi-Adequada_V204eV205","Moradia Inadequada_V206eV207","DOMICILIOS PRECARIOS","COABITACAO","ONUS EXCESSIVO","ADENSAMENTO","DEFICIT TOTAL"
"3550308005056","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","11756","1","61","0","0","0","0","2","54","568","21","0","1517","6166","512","48","1","3","5933","5829","29460","26190","635","892","1701","42","29346","11760","6010","5249","2285","150","91","886","97","440","15","784","43","461","84","677","4","98747805","7100","525","141","0","88","33","0","0","0","0","0","1","0","0","0","11457","261","38","0","0","0","11718","38","0","0","252","55","0","307"
"3550308005057","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","10256","1","44","0","0","0","0","0","88","1436","14","0","1832","7267","223","104","2","0","4522","5747","26444","21895","875","557","3092","25","26319","10261","5515","4811","2208","175","175","650","81","554","20","697","39","463","60","493","5","65399546","12310","325","0","1","0","0","0","0","0","0","0","1","0","0","0","9082","834","329","4","0","0","9916","333","0","17","236","190","117","559"
"3550308005058","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","10768","3","334","0","0","0","0","2","62","1149","56","0","2343","8040","402","91","5","5","4955","5859","29203","24794","728","780","2867","34","28968","10803","5791","5484","2682","204","219","783","134","720","13","738","32","584","90","558","35","64032313","59571","439","14","10","1","1","0","0","0","0","0","3","0","0","0","10245","254","109","1","0","0","10499","110","0","65","474","397","51","986"
"3550308005059","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","13317","2","43","0","0","0","0","0","158","1606","57","0","2159","7802","488","80","4","0","5843","7518","36536","32113","684","987","2732","20","35938","13356","7631","7152","2864","223","241","1123","222","786","22","887","45","696","77","408","39","97242767","50857","645","1","0","0","0","0","0","0","0","0","2","0","0","0","12679","350","286","1","0","0","13029","287","0","49","551","385","64","1049"
"3550308005060","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","12103","3","518","0","0","0","1","3","446","3430","39","0","2267","12222","145","281","5","9","5401","6715","40637","24771","4964","511","10334","57","40540","12116","7246","8680","5045","514","490","1022","193","2046","71","1312","52","1385","152","249","13","33655607","46880","384","0","1","263","131","0","0","0","0","2","3","2","0","0","11268","137","386","1","0","0","11405","387","0","31","1418","678","266","2393"
"3550308005061","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","12758","10","1543","0","0","23","0","2","156","2471","35","1","5089","9477","139","464","23","4","5800","6966","39592","27951","3060","574","7972","35","39574","12766","7570","8383","4661","405","408","1047","188","1647","45","1058","51","947","106","246","8","43124317","8360","433","23","8","41","40","0","0","0","0","1","2","2","0","0","11354","702","227","21","0","0","12056","248","0","0","878","617","234","1730"
"3550308005062","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","16307","13","99","0","0","12","0","7","127","4656","77","0","1566","17628","306","231","38","11","7310","9009","53129","31964","5843","2797","12405","114","53001","16317","9507","11102","6263","462","595","1482","267","2361","93","1783","81","1992","173","413","10","48854179","13632","1088","11","1","82","30","0","0","0","1","2","13","3","0","2","15119","693","390","27","0","0","15812","417","0","21","1515","955","542","3032"
"3550308005063","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","13341","0","787","0","0","0","3","1","70","916","34","0","2417","8086","464","170","0","8","5937","7412","36015","30919","833","1324","2908","28","35929","13347","7429","7240","3355","236","227","997","189","740","24","803","36","602","98","363","6","86969334","8930","670","0","3","23","10","0","0","0","0","0","0","0","0","0","13005","128","139","54","0","0","13133","193","0","18","479","337","32","866"
"3550308005064","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","11552","9","647","1","0","0","0","2","108","1252","81","1","3642","8867","699","898","25","6","5666","5914","36061","26868","1372","1068","4758","43","32904","11573","6387","6762","3124","235","209","1121","174","874","38","931","43","792","98","404","22","57980629","44859","437","229","15","676","61","2","0","2","2","2","9","3","0","0","11283","42","100","4","0","0","11325","104","0","63","390","455","63","972"
"3550308005065","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","16082","2","361","0","0","0","0","2","163","2166","49","0","2569","11388","556","182","6","4","7007","9092","46721","38882","1515","1498","4785","41","46547","16091","9416","10254","4684","272","358","1091","253","1311","42","997","49","974","113","401","9","94645384","15810","762","63","3","42","19","0","0","0","0","2","2","2","0","0","15605","19","453","0","0","0","15624","453","0","20","479","594","96","1189"
