,MAE,RMSE,R2
DOMICILIOS_PRECARIOS,12.877916330232168,30.73381567588501,0.16868856352361816
COABITACAO,30.38008025736675,44.898595224439156,0.9444845577104464
ONUS_EXCESSIVO,34.709551522982636,59.50118111411913,0.8370434683891615
ADENSAMENTO,10.155857866442359,15.102757014953081,0.4840462420411781
DEFICIT_TOTAL,54.64143260699778,87.09395370902824,0.9349768574618149
