COD_MICRO,NOME_MICRO,Soma_V002.x,Soma_V023.x,Soma_V037,Soma_V038,Soma_V039,Soma_V040,Soma_V041.x,Soma_V046,Soma_V101,Soma_V102,Soma_V103,Soma_V233,Soma_V007.x,Soma_V008.x,Soma_V009.x,Soma_V011.x,Soma_V023.y,Soma_V041.y,Soma_V001.x,Soma_V109,Soma_V001.y,Soma_V002.y,Soma_V003.x,Soma_V004.x,Soma_V005.x,Soma_V006.x,Soma_V002.x.x,Soma_V003.y,Soma_V004.y,Soma_V005.y,Soma_V006.y,Soma_V007.y,Soma_V008.y,Soma_V009.y,Soma_V010,Soma_V011.y,Soma_V012,Soma_V013,Soma_V014.x,Soma_V015,Soma_V016,Soma_V017.x,Soma_V001,Soma_V002.y.y,Soma_V004,Soma_V014.y,Soma_V011,Soma_V017.y,Soma_V050,Soma_V052,Soma_V113,Soma_V119,Soma_V125,Soma_V131,Soma_V137,Soma_V143,Soma_V149,Soma_V154,Soma_V160,Soma_V202,Soma_V203,Soma_V204,Soma_V205,Soma_V206,Soma_V207,Soma_soma_V202eV203,Soma_soma_V204eV205,Soma_soma_V206eV207,DEFICIT_TOTAL
31001,Unaí,2855.1666666666665,14.166666666666666,50.75,49.333333333333336,1.5833333333333333,3.4166666666666665,0.0,15.0,125.83333333333333,504.25,15.333333333333334,4.833333333333333,433.9166666666667,1784.0833333333333,52.916666666666664,130.16666666666666,40.5,37.75,1083.4166666666667,1778.6666666666667,9185.916666666666,3248.0,666.75,185.41666666666666,5063.75,11.0,9134.583333333334,2860.5833333333335,1774.9166666666667,2218.0,1155.9166666666667,184.75,48.416666666666664,88.33333333333333,17.583333333333332,395.5,8.666666666666666,167.16666666666666,3.0833333333333335,152.66666666666666,12.0,53.5,5.666666666666667,4751771.416666667,5228.166666666667,100.58333333333333,4.333333333333333,90.91666666666667,5.083333333333333,1.8333333333333333,1.1666666666666667,8.916666666666666,11.25,9.25,12.916666666666666,13.75,6.166666666666667,0.3333333333333333,0.75,990.5833333333334,899.3333333333334,258.4166666666667,624.0833333333334,0.08333333333333333,5.333333333333333,1889.9166666666667,882.5,5.416666666666667,3088.0
31002,Paracatu,3759.214285714286,14.071428571428571,126.21428571428571,58.785714285714285,1.5,4.142857142857143,0.2857142857142857,11.214285714285714,176.64285714285714,693.0,18.428571428571427,18.785714285714285,594.5,2296.4285714285716,61.857142857142854,22.714285714285715,38.357142857142854,32.714285714285715,1399.9285714285713,2366.1428571428573,12599.07142857143,4317.0,1429.0714285714287,196.5,6642.857142857143,11.214285714285714,12542.857142857143,3765.0714285714284,2395.0714285714284,3237.785714285714,1573.2142857142858,243.71428571428572,75.0,128.28571428571428,24.928571428571427,578.2142857142857,11.071428571428571,232.64285714285714,4.142857142857143,201.07142857142858,20.214285714285715,59.07142857142857,6.571428571428571,6544896.642857143,7237.928571428572,116.14285714285714,7.642857142857143,72.5,63.285714285714285,11.142857142857142,1.0,5.285714285714286,10.714285714285714,6.142857142857143,12.357142857142858,14.0,7.214285714285714,1.0,1.4285714285714286,1354.5,1660.642857142857,215.07142857142858,498.64285714285717,7.357142857142857,12.428571428571429,3015.1428571428573,713.7142857142857,19.785714285714285,5413.0
31003,Januária,2415.875,45.0625,273.375,273.375,3.375,82.0,0.125,30.625,34.8125,309.5,8.4375,38.75,132.75,1068.5625,31.3125,23.8125,180.25,112.9375,934.0625,1486.875,9167.8125,2041.25,1039.5,107.9375,5927.4375,51.5625,9132.9375,2420.3125,1548.0,2531.3125,1206.4375,149.625,88.875,81.5625,21.8125,625.1875,22.9375,166.125,3.875,189.25,23.75,48.1875,4.4375,2948363.5,3225.375,121.4375,16.9375,124.4375,18.8125,2.375,12.5625,36.375,40.1875,35.5625,44.1875,44.1875,18.75,0.5625,3.4375,337.25,245.5,622.875,1166.75,2.625,31.75,582.75,1789.625,34.375,4660.0
31004,Janaúba,2587.235294117647,37.11764705882353,139.47058823529412,158.23529411764707,1.2941176470588236,63.411764705882355,1.1176470588235294,21.88235294117647,48.529411764705884,362.3529411764706,15.117647058823529,18.0,173.41176470588235,1209.6470588235295,53.588235294117645,36.8235294117647,119.11764705882354,63.88235294117647,875.8235294117648,1716.7058823529412,9041.941176470587,2824.529411764706,776.3529411764706,66.6470588235294,5359.941176470588,11.294117647058824,9001.882352941177,2591.529411764706,1712.235294117647,2515.705882352941,1082.8235294117646,128.52941176470588,84.58823529411765,69.6470588235294,18.647058823529413,471.88235294117646,11.823529411764707,126.05882352941177,2.9411764705882355,131.1764705882353,18.235294117647058,33.470588235294116,5.294117647058823,3283689.882352941,3656.0588235294117,78.52941176470588,12.176470588235293,109.88235294117646,98.3529411764706,14.647058823529411,7.588235294117647,23.41176470588235,29.058823529411764,26.529411764705884,35.705882352941174,36.23529411764706,16.352941176470587,3.2941176470588234,4.470588235294118,177.2941176470588,303.2352941176471,498.0,1575.6470588235295,1.1176470588235294,18.352941176470587,480.52941176470586,2073.6470588235293,19.470588235294116,4996.0
31005,Salinas,1833.388888888889,12.944444444444445,202.11111111111111,55.77777777777778,1.8333333333333333,13.88888888888889,0.3888888888888889,11.555555555555555,27.666666666666668,267.5,5.0,5.055555555555555,93.33333333333333,892.6666666666666,17.22222222222222,14.38888888888889,40.166666666666664,36.72222222222222,633.2222222222222,1203.0,6372.055555555556,2085.1111111111113,256.8888888888889,43.5,3983.722222222222,2.8333333333333335,6356.0,1835.2777777777778,1231.388888888889,1820.4444444444443,716.1111111111111,91.61111111111111,59.55555555555556,48.22222222222222,14.0,285.94444444444446,6.388888888888889,94.38888888888889,2.7222222222222223,99.05555555555556,9.5,31.72222222222222,1.8888888888888888,2257321.222222222,1615.6666666666667,84.05555555555556,10.333333333333334,78.61111111111111,61.5,11.444444444444445,2.5,6.722222222222222,9.555555555555555,7.055555555555555,11.88888888888889,12.777777777777779,6.333333333333333,1.0555555555555556,1.4444444444444444,268.22222222222223,498.27777777777777,336.3333333333333,718.6111111111111,0.5555555555555556,5.722222222222222,766.5,1054.9444444444443,6.277777777777778,3405.0
31006,Pirapora,3292.0833333333335,36.833333333333336,10.416666666666666,212.75,3.1666666666666665,19.75,0.08333333333333333,34.083333333333336,76.66666666666667,531.0,14.333333333333334,14.0,269.6666666666667,1762.0,52.083333333333336,49.583333333333336,116.66666666666667,103.25,1230.4166666666667,2064.5833333333335,11582.666666666666,2507.5833333333335,1394.25,130.33333333333334,7479.083333333333,15.333333333333334,11473.166666666666,3288.5,2067.9166666666665,2779.4166666666665,1541.0833333333333,284.5,107.91666666666667,100.75,28.75,760.0833333333334,25.5,186.16666666666666,3.8333333333333335,225.91666666666666,31.0,62.666666666666664,10.5,4371125.166666667,10454.083333333334,120.08333333333333,8.416666666666666,240.08333333333334,139.16666666666666,30.75,3.25,27.75,32.25,28.083333333333332,35.583333333333336,36.333333333333336,15.833333333333334,3.75,4.75,153.0,230.25,887.25,1974.5833333333333,1.4166666666666667,18.833333333333332,383.25,2861.8333333333335,20.25,4521.0
31007,Montes Claros,3165.425,23.925,71.5,135.675,1.45,25.5,0.225,17.525,83.525,457.15,8.5,41.225,354.125,1660.7,29.95,24.75,73.85,50.3,1170.575,2001.525,11134.1,3478.5,858.125,125.475,6649.9,16.5,11089.5,3171.225,1994.25,3020.025,1348.2,141.825,99.2,110.45,22.4,558.6,13.1,255.625,4.2,229.775,24.65,69.75,5.825,5654731.675,4584.175,92.025,6.775,69.975,64.0,10.55,3.6,12.6,17.1,13.55,22.725,23.125,10.0,1.825,1.375,1134.15,1332.4,205.725,418.275,1.725,36.775,2466.55,624.0,38.5,14479.0
31008,Grão Mogol,867.0,14.8,319.2,142.0,1.0,6.8,0.0,7.8,6.4,111.4,5.6,16.6,21.2,370.2,15.4,18.2,43.8,24.0,382.2,486.2,3154.6,771.2,204.2,41.0,2136.0,2.2,3146.6,867.4,527.2,805.8,531.2,52.4,28.8,27.2,5.8,145.8,2.4,65.0,2.0,55.2,8.8,16.8,0.4,981158.0,100.0,38.4,2.0,43.0,0.6,0.0,1.8,12.4,14.4,12.6,14.2,14.8,10.4,0.0,0.2,48.0,329.2,80.6,383.0,0.6,13.6,377.2,463.6,14.2,406.0
31009,Bocaiúva,2428.5,21.5,62.0,140.0,2.6666666666666665,11.0,0.0,14.5,55.333333333333336,332.0,8.166666666666666,25.5,190.33333333333334,1198.6666666666667,29.333333333333332,23.166666666666668,63.0,34.166666666666664,905.5,1527.6666666666667,8406.333333333334,2215.3333333333335,625.1666666666666,55.666666666666664,5508.0,2.1666666666666665,8373.0,2432.5,1483.3333333333333,2182.1666666666665,1134.6666666666667,145.16666666666666,73.83333333333333,68.83333333333333,15.333333333333334,447.6666666666667,14.0,169.0,2.5,154.5,23.833333333333332,29.166666666666668,4.0,3136118.0,3139.1666666666665,89.16666666666667,12.5,44.666666666666664,119.83333333333333,21.333333333333332,4.0,9.0,16.0,10.833333333333334,19.833333333333332,20.5,14.166666666666666,3.0,2.5,461.8333333333333,1145.3333333333333,332.6666666666667,443.8333333333333,8.5,15.166666666666666,1607.1666666666667,776.5,23.666666666666668,1685.0
31010,Diamantina,2104.0,12.625,81.875,158.0,1.0,13.0,0.375,12.0,24.0,383.625,7.75,17.5,88.75,1230.875,40.125,15.25,39.5,32.25,860.875,1246.875,7423.0,1956.25,864.0,114.625,4479.875,7.5,7385.125,2105.875,1224.0,1934.625,1049.0,84.625,53.75,80.25,13.0,398.25,8.375,191.5,2.875,155.5,19.75,50.125,2.0,3569883.875,2677.0,53.0,8.0,36.375,39.125,8.75,0.75,6.625,11.0,9.0,12.125,12.625,7.25,0.25,0.0,570.375,1020.375,179.875,293.125,1.875,10.875,1590.75,473.0,12.75,2074.0
